	pol_Latn	csb_Latn
0	dostudzić	wëstëdnąc
1	Nie znaleziono odnośnika .	Nie òstôł nalazłi lënk .
2	przemarnować	stracëc
3	niegłęboki	snôdczi
4	rosa	rosa
5	cukierkowy	miodny
6	Ostatnie zamarzające opadyweather condition	weather condition
7	ość	szczeżla
8	budynek	bùdink
9	Sotho, Południowy	Sotho, Pôłniowi
10	plugawość	nielusnosc
11	ciemnowłosy	cemnowłosy
12	obcinek	urzink
13	rzeź	wërzniãcé
14	wsadzić	wsadzëc
15	Nieznany protokół .	Nieznóny protokół .
16	Pokaż dostępne polecenia	Pòkażë przëstãpné pòlétë
17	medytacja	rozmiszlanié
18	Włączenie tej opcji spowoduje, że jvm będzie używać KIO do przekazywania danych przez sieć.	Włączenié ti òptacëji doprowôdzy do tegò, że jvm bãdze ùżëwac KIO do sélaniô pòdôwków przez séc.
19	niegodność	niegòdnosc
20	modrość	mòdrosc
21	puch	kwôp
22	balować	balowac
23	zamurzać się	maczac sã
24	Islandzki	Islandzczi
25	Do określania zwyczajów, zainteresowań lub zachowania	Do òtaksowaniô zwëków, zajimnotów abò sprôwianiô sã
26	żółto	żôłto
27	Myślimira	Mëslëmira
28	uczennica	ùczenka
29	Włącza automatyczne logowanie dotyczy jedynie logowania w trybie graficznym za pomocą KDM. Zastanów się dobrze przed włączeniem tej opcji!	Włączô aùtomatné logòwanié tikô blós logòwaniô w grafikòwim tribie za pòmòcą KDM. Przemëszlë to dobrze przed włączeniém ti òptacëji!
30	drzewnik	drzewnik
31	trwać	ùbëwac
32	chmielny	chmielny
33	Rozmiar ramki Legal	Miara ramki Legal
34	rok temu	łoni
35	unieszczęśliwiać	ùnieszczestlëwiac
36	zapuszczony	nielusny
37	odrzucać	òdrzëcac
38	kolejny	drëdżi
39	zbrudzić	ùzolëc
40	Otwiera konsolę błędów	Kònsola felów
41	przebaczyć	przepùscëc
42	dwójnasób w	pòdwójno
43	krzywkowy	krziwkòwi
44	periodycznie	cządowò
45	bezprawie	bezprawié
46	prolog	prolog
47	zażerać	zażerac
48	panieński	panieńsczi
49	Madziar	Madżara
50	wynędznieć	przëmrzéc
51	mścić	mscëc
52	Uwaga strona podręcznika napisana w Twoim języku może być nieaktualna lub zawierać błędy. W razie wątpliwości dobrze jest sprawdzić wersję angielską.	Bôczënk starna ùczbòwnika napisóna w Twòjim jãzëkù mòże nie bëc aktualna abò miec felë. Eżle môsz jaczé trëchlënë, téj zazdrzë do anielsczi wersëji.
53	golić	pùcowac
54	borowisko	bòrowiskò
55	Alternatywne tło	Alternatiwny spódk
56	Najczęściej pobierane	Nôczãsczi zladowóné
57	patrochy	wątpia
58	jarzyna	jarzëna
59	ze skóry	òblëpiac
60	skończyć	pòskùńczëc
61	bałamucenie	zabôwianié
62	Brak wykonawcy	Felëje artistë
63	desperat	desperat
64	zmierzchnąć się	pòcemniec
65	derywat	deriwat
66	żołnierzyk	żôłnérzëk
67	paw	pôw
68	sprawa	zacha
69	dwukształtny	dwùsztôłtny
70	KSqueezedTextLabelBoolean AND keyword in desktop search strings. You can add several variants separated by spaces, e. g. retain the English one alongside the translation; keywords are not case sensitive. Make sure there is no conflict with the OR keyword.	KSqueezedTextLabelBoolean AND keyword in desktop search strings. You can add several variants separated by spaces, e. g. retain the English one alongside the translation; keywords are not case sensitive. Make sure there is no conflict with the OR keyword.
71	powielać	zwielokrotniac
72	zdjęcie	fòtografiô
73	do tej chwili	do terôzczi
74	skazać	skazac
75	burtowy	bórtowi
76	Odwróć	Przëwrócë
77	desantowy	desantowi
78	Menu najwyższego poziomu	Menu
79	kaszubszczyzna	kaszëbizna
80	przydać się	przëdac sã
81	Temat	Téma
82	Przełącz na pulpit	Przełączë na pùlt
83	autorament	ôrt
84	mądralińskiego	mądralsczi
85	dominantowe akordy	dominantowé akòrdë
86	xdpi, folie, zwykła jakość	xdpi, fòlie, zwëkłi kwalitet
87	Wg grupy Sort	Grëpama Sort
88	zagrzebywać	zagrzebòwac
89	c, Carsten Pfeiffer	c , Carsten Pfeiffer
90	Lichnowy	Lichnowë
91	Tylko odczyt	Blós òdczët
92	osmolony	smòlôk
93	nabiedować się	nabiédowac sã
94	kostny	kòstny
95	Wyświetlanie na ekranie	Ekran OSD
96	chudoba	chòwa
