	pol_Latn	csb_Latn
0	wëstëdnąc	dostudzić
1	Nie òstôł nalazłi lënk .	Nie znaleziono odnośnika .
2	stracëc	przemarnować
3	snôdczi	niegłęboki
4	rosa	rosa
5	miodny	cukierkowy
6	weather condition	Ostatnie zamarzające opadyweather condition
7	szczeżla	ość
8	bùdink	budynek
9	Sotho, Pôłniowi	Sotho, Południowy
10	nielusnosc	plugawość
11	cemnowłosy	ciemnowłosy
12	urzink	obcinek
13	wërzniãcé	rzeź
14	wsadzëc	wsadzić
15	Nieznóny protokół .	Nieznany protokół .
16	Pòkażë przëstãpné pòlétë	Pokaż dostępne polecenia
17	rozmiszlanié	medytacja
18	Włączenié ti òptacëji doprowôdzy do tegò, że jvm bãdze ùżëwac KIO do sélaniô pòdôwków przez séc.	Włączenie tej opcji spowoduje, że jvm będzie używać KIO do przekazywania danych przez sieć.
19	niegòdnosc	niegodność
20	mòdrosc	modrość
21	kwôp	puch
22	balowac	balować
23	maczac sã	zamurzać się
24	Islandzczi	Islandzki
25	Do òtaksowaniô zwëków, zajimnotów abò sprôwianiô sã	Do określania zwyczajów, zainteresowań lub zachowania
26	żôłto	żółto
27	Mëslëmira	Myślimira
28	ùczenka	uczennica
29	Włączô aùtomatné logòwanié tikô blós logòwaniô w grafikòwim tribie za pòmòcą KDM. Przemëszlë to dobrze przed włączeniém ti òptacëji!	Włącza automatyczne logowanie dotyczy jedynie logowania w trybie graficznym za pomocą KDM. Zastanów się dobrze przed włączeniem tej opcji!
30	drzewnik	drzewnik
31	ùbëwac	trwać
32	chmielny	chmielny
33	Miara ramki Legal	Rozmiar ramki Legal
34	łoni	rok temu
35	ùnieszczestlëwiac	unieszczęśliwiać
36	nielusny	zapuszczony
37	òdrzëcac	odrzucać
38	drëdżi	kolejny
39	ùzolëc	zbrudzić
40	Kònsola felów	Otwiera konsolę błędów
41	przepùscëc	przebaczyć
42	pòdwójno	dwójnasób w
43	krziwkòwi	krzywkowy
44	cządowò	periodycznie
45	bezprawié	bezprawie
46	prolog	prolog
47	zażerac	zażerać
48	panieńsczi	panieński
49	Madżara	Madziar
50	przëmrzéc	wynędznieć
51	mscëc	mścić
52	Bôczënk starna ùczbòwnika napisóna w Twòjim jãzëkù mòże nie bëc aktualna abò miec felë. Eżle môsz jaczé trëchlënë, téj zazdrzë do anielsczi wersëji.	Uwaga strona podręcznika napisana w Twoim języku może być nieaktualna lub zawierać błędy. W razie wątpliwości dobrze jest sprawdzić wersję angielską.
53	pùcowac	golić
54	bòrowiskò	borowisko
55	Alternatiwny spódk	Alternatywne tło
56	Nôczãsczi zladowóné	Najczęściej pobierane
57	wątpia	patrochy
58	jarzëna	jarzyna
59	òblëpiac	ze skóry
60	pòskùńczëc	skończyć
61	zabôwianié	bałamucenie
62	Felëje artistë	Brak wykonawcy
63	desperat	desperat
64	pòcemniec	zmierzchnąć się
65	deriwat	derywat
66	żôłnérzëk	żołnierzyk
67	pôw	paw
68	zacha	sprawa
69	dwùsztôłtny	dwukształtny
70	KSqueezedTextLabelBoolean AND keyword in desktop search strings. You can add several variants separated by spaces, e. g. retain the English one alongside the translation; keywords are not case sensitive. Make sure there is no conflict with the OR keyword.	KSqueezedTextLabelBoolean AND keyword in desktop search strings. You can add several variants separated by spaces, e. g. retain the English one alongside the translation; keywords are not case sensitive. Make sure there is no conflict with the OR keyword.
71	zwielokrotniac	powielać
72	fòtografiô	zdjęcie
73	do terôzczi	do tej chwili
74	skazac	skazać
75	bórtowi	burtowy
76	Przëwrócë	Odwróć
77	desantowi	desantowy
78	Menu	Menu najwyższego poziomu
79	kaszëbizna	kaszubszczyzna
80	przëdac sã	przydać się
81	Téma	Temat
82	Przełączë na pùlt	Przełącz na pulpit
83	ôrt	autorament
84	mądralsczi	mądralińskiego
85	dominantowé akòrdë	dominantowe akordy
86	xdpi, fòlie, zwëkłi kwalitet	xdpi, folie, zwykła jakość
87	Grëpama Sort	Wg grupy Sort
88	zagrzebòwac	zagrzebywać
89	c , Carsten Pfeiffer	c, Carsten Pfeiffer
90	Lichnowë	Lichnowy
91	Blós òdczët	Tylko odczyt
92	smòlôk	osmolony
93	nabiédowac sã	nabiedować się
94	kòstny	kostny
95	Ekran OSD	Wyświetlanie na ekranie
96	chòwa	chudoba
97	czasowô fela w dolmaczënkù miona	chwilowy błąd w tłumaczeniu nazwy
98	òszalëc	otumanić
99	Wëgenerëjë reset Bus	Zresetuj szynę
100	"Òpisëje, jak KTTS mùszi gôdac ò dzejaniém. Jeżlë wëbiérzesz ""Gôdôj swòj tekst,"" napiszë tekst w ramie. Mòżesz ùżëc nëch paramétrów w teksce e Miono dzejania a Programa, chtërna wësła dzejanié m Wiadło wësłóné przez programã"	"Określa, jak KTTS powinien mówić o zdarzeniu. Jeśli wybierzesz ""Powiedz własny tekst,"" podaj tekst w ramce. Możesz użyć następujących parametrów w tekście e Nazwa zdarzenia a Program, który wysłał zdarzenie m Wiadomość wysłana przez program"
101	rek	rak
102	Nowô schema	Nowy zestaw
103	data	data
104	bez lasów	bezleśny
105	Bôczënk Twòje pòdôwczi bãdą wësłóne przez séc bez szifrowaniô. Jisc dali?	Uwaga Twoje dane będą przekazane przez sieć bez szyfrowania. Kontynuować?
106	Mòdrozelony, żôłti, czôrny	Niebieskozielony, żółty, czarny
107	łakòtlëwòsc	łakotliwość
108	knapskò	chłopaczyna
109	wioslôrz	wioślarz
110	rozkòpòwac	rozkopywać
111	niebòractwò	nieboractwo
112	Dobëjë nowé témë z internetu.	Pobranie nowych motywów z Internetu
113	cziwac sã	kiwać się
114	HDLC	HDLC
115	batożëszcze	biczysko
116	mòrdarstwò	morderstwo
117	dopòmôganié	dopomaganie
118	miłotno	amoroso
119	kanticzi	cantica
120	terôzkã	teraz
121	jizdebka	izdebka
122	gwësnosc	pewność
123	sztëroscón	czworościan
124	Wëskrzëniô wirtualny pùlt na scanie szescanu	Pokazanie kół zębatych w sześcianie
